first_name,last_name,address,birthday,company_type,company_capital
Wilmar,Westhoff,68 Waubesa Crossing,,SA,88466
Hanson,MacEnelly,102 Evergreen Center,20.09.1995,,
Minny,Allington,803 Twin Pines Lane,06.03.1951,,
Adelaida,Dawney,31 Fairfield Road,,SRL,16587
Lonnard,Josefsson,5 Basil Parkway,09.11.1990,,
Henderson,Bowich,57 Crest Line Crossing,,SA,183454
Adrian,Wellbelove,319 Rutledge Hill,18.07.1984,,
Tomi,Spuffard,6522 Fulton Park,25.04.1967,,
Dido,Burgoine,83960 Mifflin Junction,17.12.1981,,
Dieter,Ginger,057 Corscot Park,11.05.1999,,
Isidore,Mewburn,97495 Elgar Center,10.02.1958,,
Sloane,Wedgwood,9178 Fremont Avenue,,SRL,43662
Terrijo,Massingham,7169 Nevada Park,,SRL,197907
Deeyn,Madge,57582 Dayton Street,30.12.1970,,
Riannon,Curneen,868 Meadow Vale Pass,,SA,64609
Dicky,Naisey,77711 Burrows Street,09.08.1986,,
Bryn,Dury,8 Basil Point,13.05.2002,,
Ciro,Gaskarth,09182 Cambridge Park,,SRL,11175
Griselda,Wedlock,55544 Cottonwood Pass,,SA,159327
See,Gyppes,819 Lindbergh Parkway,01.11.1992,,
Binnie,La Croce,1056 Melvin Court,,SA,95214
Dewey,Snowling,6014 John Wall Center,24.05.1963,,
Lesley,Levington,829 Dwight Place,,SA,134369
Maire,Mumford,96384 Monument Pass,19.09.1961,,
Meredith,Vitall,91240 Meadow Ridge Lane,12.01.1983,,
Elliott,Abrahart,56978 Sutherland Park,,SRL,73071
Ferris,Weatherhill,38 Thompson Terrace,,SA,70572
Annie,Massimi,57544 Hovde Street,,SRL,9018
Ellen,Lillegard,73 Monument Junction,01.06.1951,,
Aime,Bickley,04 Pine View Circle,10.05.1994,,
Zacherie,Handrik,64808 Old Shore Lane,,SA,175892
Jobey,Van Oord,4173 Farragut Trail,14.07.1977,,
Tonnie,Gannan,55 Jay Alley,18.03.1951,,
Barthel,Instrell,774 Kim Circle,19.08.1957,,
Haleigh,Larroway,98 Prentice Lane,,SA,90707
Bradford,Hitter,58810 Fuller Place,,SRL,196264
Maxi,Garrals,3740 Bluestem Circle,07.05.1953,,
Roxy,Asquez,5055 Sutteridge Street,,SRL,31124
Reggie,Scimone,443 Monica Place,10.08.1959,,
Gare,Lundie,1 Farmco Place,28.05.1975,,
